Location 1,Location 2,Price,Rooms,Bathrooms,Car Parks,Type,Area (in Square meter),Furnishing
KLCC,Kuala Lumpur,3700,2,1,0,Built-up,1031,Fully
Sentul,Kuala Lumpur,600000,3,2,0,Built-up,1032,Partly
KLCC,Kuala Lumpur,900000,3,2,0,Built-up,1033,Partly
Desa ParkCity,Kuala Lumpur,1100000,2,1,0,Built-up,1034,Fully
Jalan Ipoh,Kuala Lumpur,590000,3,2,0,Built-up,1037,Partly
Jalan Ipoh,Kuala Lumpur,590000,3,2,0,Built-up,1037,Partly
Mont Kiara,Kuala Lumpur,620000,2,2,0,Built-up,1037,Fully
Setapak,Kuala Lumpur,470000,3,2,0,Built-up,1040,Partly
Salak Selatan,Kuala Lumpur,620000,3,2,0,Built-up,1041,Partly
Cheras,Kuala Lumpur,490000,3,2,0,Built-up,1042,Partly
Mont Kiara,Kuala Lumpur,1180000,2,2,0,Built-up,1043,Partly
Sungai Besi,Kuala Lumpur,529000,3,2,0,Built-up,1044,Partly
Sungai Besi,Kuala Lumpur,520000,3,2,0,Built-up,1044,Partly
KL City,Kuala Lumpur,650000,3,2,0,Built-up,1044,Partly
Sungai Besi,Kuala Lumpur,550000,3,2,0,Built-up,1044,Partly
Bukit Bintang,Kuala Lumpur,1150000,2,2,0,Built-up,1044,Fully
Salak Selatan,Kuala Lumpur,458000,3,3,0,Built-up,1045,Fully
Sungai Besi,Kuala Lumpur,450000,3,3,0,Built-up,1045,Fully
Sungai Besi,Kuala Lumpur,450000,3,3,0,Built-up,1045,Fully
Sungai Besi,Kuala Lumpur,355000,3,2,0,Built-up,1045,Fully
KLCC,Kuala Lumpur,870000,2,2,0,Built-up,1047,Fully
Sungai Besi,Kuala Lumpur,530000,3,2,0,Built-up,1047,Unfurnished
Jalan Klang Lama,Kuala Lumpur,725000,3,2,0,Built-up,1048,Partly
Segambut,Kuala Lumpur,350000,3,2,0,Built-up,1049,Partly
Ampang,Kuala Lumpur,600000,2,1,0,Built-up,1049,Fully
KLCC,Kuala Lumpur,1450000,1,1,0,Built-up,1050,Fully
Jalan Kuching,Kuala Lumpur,400000,3,2,0,Built-up,1050,Partly
KL City,Kuala Lumpur,240000,3,2,0,Built-up,1050,Unfurnished
Jalan Kuching,Kuala Lumpur,450000,3,2,0,Built-up,1050,Partly
Jalan Kuching,Kuala Lumpur,420000,3,2,0,Built-up,1050,Partly
Cheras,Kuala Lumpur,530000,3,2,0,Built-up,1050,Partly
Cheras,Kuala Lumpur,510000,3,2,0,Built-up,1050,Unfurnished
Bukit Jalil,Kuala Lumpur,500000,3,2,0,Built-up,1050,Partly
Cheras,Kuala Lumpur,678000,3,3,0,Built-up,1054,Partly
Cheras,Kuala Lumpur,727000,3,2,0,Built-up,1054,Partly
Mont Kiara,Kuala Lumpur,680000,2,2,0,Built-up,1055,Partly
KLCC,Kuala Lumpur,2900,2,2,0,Built-up,1055,Fully
Setapak,Kuala Lumpur,380000,3,2,0,Built-up,1056,Fully
Desa Petaling,Kuala Lumpur,390000,3,2,0,Built-up,1057,Partly
Titiwangsa,Kuala Lumpur,580000,3,2,0,Built-up,1059,Fully
KLCC,Kuala Lumpur,1450000,2,2,0,Built-up,1059,Fully
Dutamas,Kuala Lumpur,970000,2,2,0,Built-up,1060,Partly
Dutamas,Kuala Lumpur,1200000,2,2,0,Built-up,1060,Fully
Jalan Ipoh,Kuala Lumpur,500000,3,2,0,Built-up,1060,Fully
Sentul,Kuala Lumpur,395000,3,2,0,Built-up,1062,Partly
Sentul,Kuala Lumpur,395000,3,2,0,Built-up,1062,Partly
Sentul,Kuala Lumpur,395000,3,2,0,Built-up,1062,Partly
Sentul,Kuala Lumpur,365000,3,2,0,Built-up,1063,Partly
Jalan Klang Lama,Kuala Lumpur,435000,3,2,0,Built-up,1065,Partly
Ampang,Kuala Lumpur,880000,3,2,0,Built-up,1066,Partly
Setapak,Kuala Lumpur,480000,3,2,0,Built-up,1066,Partly
Cheras,Kuala Lumpur,795000,2,2,0,Built-up,1066,Partly
Bukit Bintang,Kuala Lumpur,1020000,3,3,0,Built-up,1066,Fully
Cheras,Kuala Lumpur,415000,3,2,0,Built-up,1066,Fully
Ampang,Kuala Lumpur,600000,2,1,0,Built-up,1066,Fully
Sentul,Kuala Lumpur,374100,3,2,0,Built-up,1066,Partly
Sentul,Kuala Lumpur,374100,3,2,0,Built-up,1066,Partly
Sentul,Kuala Lumpur,374100,3,2,0,Built-up,1066,Partly
Bangsar,Kuala Lumpur,702000,3,2,0,Built-up,1066,Partly
Bangsar,Kuala Lumpur,702000,3,2,0,Built-up,1066,Partly
Bangsar,Kuala Lumpur,702000,3,2,0,Built-up,1066,Partly
Bukit Bintang,Kuala Lumpur,1050000,2,1,0,Built-up,1067,Fully
KL Eco City,Kuala Lumpur,1200000,2,2,0,Built-up,1067,Partly
Ampang,Kuala Lumpur,650000,2,2,0,Built-up,1067,Fully
Bukit Bintang,Kuala Lumpur,1350000,2,2,0,Built-up,1070,Fully
Bukit Bintang,Kuala Lumpur,1150000,2,2,0,Built-up,1070,Fully
Bukit Bintang,Kuala Lumpur,1180000,2,2,0,Built-up,1070,Fully
Bukit Bintang,Kuala Lumpur,1123500,2,2,0,Built-up,1070,Fully
Mont Kiara,Kuala Lumpur,899000,2,2,0,Built-up,1070,Fully
Jalan Ipoh,Kuala Lumpur,642800,3,2,0,Built-up,1070,Partly
Cheras,Kuala Lumpur,420000,2,2,0,Built-up,1072,Partly
City Centre,Kuala Lumpur,830000,2,2,0,Built-up,1072,Fully
KLCC,Kuala Lumpur,1700000,2,2,0,Built-up,1073,Fully
KLCC,Kuala Lumpur,1500000,2,2,0,Built-up,1074,Fully
Sungai Besi,Kuala Lumpur,520000,3,2,0,Built-up,1074,Partly
Sungai Besi,Kuala Lumpur,530000,3,2,0,Built-up,1074,Partly
KLCC,Kuala Lumpur,1300000,2,2,0,Built-up,1076,Partly
Bandar Menjalara,Kuala Lumpur,435000,3,2,0,Built-up,1076,Partly
Kepong,Kuala Lumpur,550000,3,2,0,Built-up,1076,Fully
Jalan Kuching,Kuala Lumpur,420000,3,2,0,Built-up,1076,Partly
KLCC,Kuala Lumpur,2900000,2,2,0,Built-up,1076,Partly
Bandar Menjalara,Kuala Lumpur,420000,4,2,0,Built-up,1076,Partly
Sentul,Kuala Lumpur,428000,3,2,0,Built-up,1076,Partly
KL City,Kuala Lumpur,1700080,2,1,0,Built-up,1076,Fully
Bandar Menjalara,Kuala Lumpur,400000,3,2,0,Built-up,1076,Partly
Bandar Menjalara,Kuala Lumpur,405000,3,2,0,Built-up,1076,Partly
Desa ParkCity,Kuala Lumpur,1100000,2,2,0,Built-up,1080,Fully
Sentul,Kuala Lumpur,500000,3,2,0,Built-up,1080,Fully
Bukit Jalil,Kuala Lumpur,1500,4,2,0,Built-up,1080,Fully
Cheras,Kuala Lumpur,525000,3,2,0,Built-up,1082,Partly
Desa ParkCity,Kuala Lumpur,815000,2,2,0,Built-up,1085,Fully
Sentul,Kuala Lumpur,615000,3,2,0,Built-up,1085,Fully
Sentul,Kuala Lumpur,710000,3,2,0,Built-up,1085,Fully
Sentul,Kuala Lumpur,650000,3,2,0,Built-up,1085,Fully
Sentul,Kuala Lumpur,649000,3,2,0,Built-up,1085,Partly
Wangsa Maju,Kuala Lumpur,710000,3,2,0,Built-up,1085,Fully
Desa Pandan,Kuala Lumpur,950000,2,2,0,Built-up,1087,Fully
KLCC,Kuala Lumpur,2100000,2,2,0,Built-up,1087,Fully
KL Sentral,Kuala Lumpur,1528888,2,2,0,Built-up,1087,Fully
Sentul,Kuala Lumpur,800000,3,3,0,Built-up,1087,Fully
Desa Pandan,Kuala Lumpur,780000,2,2,0,Built-up,1087,Partly
KLCC,Kuala Lumpur,2337050,2,2,0,Built-up,1087,Fully
KLCC,Kuala Lumpur,2506500,1,1,0,Built-up,1087,Partly
KL Sentral,Kuala Lumpur,1588000,2,2,0,Built-up,1087,Fully
Damansara Heights,Kuala Lumpur,1109760,1,1,0,Built-up,1088,Fully
City Centre,Kuala Lumpur,755000,3,2,0,Built-up,1088,Fully
Wangsa Maju,Kuala Lumpur,550000,2,2,0,Built-up,1088,Partly
Mont Kiara,Kuala Lumpur,780000,3,2,0,Built-up,1088,Fully
Sentul,Kuala Lumpur,635000,3,2,0,Built-up,1089,Partly
Salak Selatan,Kuala Lumpur,358000,3,2,0,Built-up,1090,Fully
Desa Petaling,Kuala Lumpur,360000,3,2,0,Built-up,1090,Partly
Batu Caves,Kuala Lumpur,400000,3,2,0,Built-up,1091,Unfurnished
Setapak,Kuala Lumpur,470000,4,3,0,Built-up,1092,Partly
Bangsar South,Kuala Lumpur,859196,3,2,0,Built-up,1092,Unfurnished
Batu Caves,Kuala Lumpur,400000,3,2,0,Built-up,1092,Unfurnished
Batu Caves,Kuala Lumpur,480000,3,2,0,Built-up,1092,Partly
Batu Caves,Kuala Lumpur,420000,3,2,0,Built-up,1093,Partly
Batu Caves,Kuala Lumpur,680000,3,2,0,Built-up,1096,Partly
Cheras,Kuala Lumpur,530000,3,2,0,Built-up,1097,Partly
Cheras,Kuala Lumpur,505000,3,2,0,Built-up,1098,Partly
Bukit Jalil,Kuala Lumpur,382500,3,2,0,Built-up,1098,Partly
Bangsar,Kuala Lumpur,1300000,2,2,0,Built-up,1098,Partly
Bukit Bintang,Kuala Lumpur,1200000,2,2,0,Built-up,1098,Fully
Bukit Bintang,Kuala Lumpur,1199000,2,2,0,Built-up,1098,Fully
Cheras,Kuala Lumpur,485000,3,2,0,Built-up,1098,Fully
Desa ParkCity,Kuala Lumpur,948888,2,2,0,Built-up,1100,Fully
Jalan Klang Lama,Kuala Lumpur,400000,3,2,0,Built-up,1100,Partly
Dutamas,Kuala Lumpur,520000,3,2,0,Built-up,1100,Partly
Dutamas,Kuala Lumpur,478000,3,2,0,Built-up,1100,Partly
Jalan Kuching,Kuala Lumpur,450000,3,2,0,Built-up,1100,Partly
Titiwangsa,Kuala Lumpur,600000,3,2,0,Built-up,1100,Fully
Bukit Jalil,Kuala Lumpur,550000,3,2,0,Built-up,1100,Unfurnished
