Location 1,Location 2,Price,Rooms,Bathrooms,Car Parks,Type,Area (in Square meter),Furnishing
KL City,Kuala Lumpur,1500000,3,3,0,Built-up,1582,Partly
KL City,Kuala Lumpur,1600000,3,3,0,Built-up,1582,Fully
Desa ParkCity,Kuala Lumpur,1180000,3,2,0,Built-up,1582,Unfurnished
Mont Kiara,Kuala Lumpur,980000,2,3,0,Built-up,1583,Partly
Mont Kiara,Kuala Lumpur,950000,2,3,0,Built-up,1586,Partly
Mont Kiara,Kuala Lumpur,980000,2,3,0,Built-up,1586,Partly
KLCC,Kuala Lumpur,2300000,2,2,0,Built-up,1591,Fully
Jalan Ipoh,Kuala Lumpur,920000,3,2,0,Built-up,1593,Fully
KLCC,Kuala Lumpur,2400000,2,3,0,Built-up,1600,Partly
Taman Desa,Kuala Lumpur,619000,3,2,0,Built-up,1600,Partly
Taman Desa,Kuala Lumpur,900000,3,2,0,Built-up,1600,Fully
Jalan Kuching,Kuala Lumpur,750000,3,3,0,Built-up,1600,Partly
Jalan Klang Lama,Kuala Lumpur,760000,5,3,0,Built-up,1600,Partly
Setapak,Kuala Lumpur,850000,3,2,0,Built-up,1600,Partly
Mont Kiara,Kuala Lumpur,1350000,4,3,0,Built-up,1600,Partly
Setapak,Kuala Lumpur,670000,4,2,0,Built-up,1600,Fully
Damansara Heights,Kuala Lumpur,1900000,4,3,0,Built-up,1600,Partly
KLCC,Kuala Lumpur,4344000,3,3,0,Built-up,1604,Fully
Dutamas,Kuala Lumpur,679000,3,3,0,Built-up,1614,Partly
Jalan Ipoh,Kuala Lumpur,630000,3,3,0,Built-up,1618,Unfurnished
Jalan Ipoh,Kuala Lumpur,688000,3,3,0,Built-up,1618,Partly
KLCC,Kuala Lumpur,1290000,3,2,0,Built-up,1619,Partly
KLCC,Kuala Lumpur,1350000,3,2,0,Built-up,1619,Fully
Jalan Klang Lama,Kuala Lumpur,878000,4,4,0,Built-up,1620,Unfurnished
Keramat,Kuala Lumpur,950000,5,3,0,Built-up,1620,Partly
KLCC,Kuala Lumpur,2771000,2,3,0,Built-up,1636,Fully
Mont Kiara,Kuala Lumpur,1350000,3,3,0,Built-up,1641,Fully
KLCC,Kuala Lumpur,2469000,2,3,0,Built-up,1646,Fully
Cheras,Kuala Lumpur,730000,3,2,0,Built-up,1646,Fully
KLCC,Kuala Lumpur,2710000,2,3,0,Built-up,1646,Partly
Pantai,Kuala Lumpur,1200000,3,2,0,Built-up,1646,Partly
KL Eco City,Kuala Lumpur,1623840,3,2,0,Built-up,1647,Partly
KL Eco City,Kuala Lumpur,1623840,4,3,0,Built-up,1647,Partly
Kepong,Kuala Lumpur,520000,3,2,0,Built-up,1650,Unfurnished
Kepong,Kuala Lumpur,530000,3,2,0,Built-up,1650,Unfurnished
KLCC,Kuala Lumpur,1280000,3,3,0,Built-up,1650,Partly
Damansara,Kuala Lumpur,1030000,4,3,0,Built-up,1650,Partly
Bangsar,Kuala Lumpur,1650000,4,3,0,Built-up,1650,Partly
Desa ParkCity,Kuala Lumpur,2300000,4,4,0,Built-up,1650,Partly
Kepong,Kuala Lumpur,780000,5,3,0,Built-up,1650,Partly
Sri Petaling,Kuala Lumpur,850000,4,3,0,Built-up,1650,Unfurnished
Bandar Sri Damansara,Kuala Lumpur,930000,4,3,0,Built-up,1650,Partly
Bandar Sri Damansara,Kuala Lumpur,930000,4,3,0,Built-up,1650,Partly
Bandar Sri Damansara,Kuala Lumpur,930000,4,3,0,Built-up,1650,Partly
Bandar Sri Damansara,Kuala Lumpur,930000,4,3,0,Built-up,1650,Partly
Bandar Sri Damansara,Kuala Lumpur,930000,4,3,0,Built-up,1650,Partly
Brickfields,Kuala Lumpur,1100000,3,3,0,Built-up,1667,Fully
Mont Kiara,Kuala Lumpur,1830000,3,4,0,Built-up,1668,Partly
KLCC,Kuala Lumpur,3200000,3,3,0,Built-up,1668,Fully
KLCC,Kuala Lumpur,4336800,3,3,0,Built-up,1668,Fully
KLCC,Kuala Lumpur,4170000,3,3,0,Built-up,1668,Fully
KLCC,Kuala Lumpur,1500000,4,3,0,Built-up,1668,Partly
Mont Kiara,Kuala Lumpur,790000,3,2,0,Built-up,1670,Fully
Damansara Heights,Kuala Lumpur,1659240,2,3,0,Built-up,1676,Fully
KLCC,Kuala Lumpur,850000,3,2,0,Built-up,1676,Fully
Wangsa Maju,Kuala Lumpur,542700,4,3,0,Built-up,1679,Partly
KLCC,Kuala Lumpur,4657000,3,3,0,Built-up,1680,Fully
KLCC,Kuala Lumpur,4600000,3,3,0,Built-up,1680,Fully
Setiawangsa,Kuala Lumpur,980000,5,3,0,Built-up,1680,Partly
OUG,Kuala Lumpur,559000,3,3,0,Built-up,1680,Partly
KLCC,Kuala Lumpur,1400000,3,3,0,Built-up,1683,Partly
KLCC,Kuala Lumpur,1950000,3,3,0,Built-up,1683,Fully
KLCC,Kuala Lumpur,1515000,3,3,0,Built-up,1683,Fully
KLCC,Kuala Lumpur,2500000,2,3,0,Built-up,1689,Unfurnished
Mont Kiara,Kuala Lumpur,850000,3,2,0,Built-up,1690,Partly
Keramat,Kuala Lumpur,855000,4,3,0,Built-up,1690,Partly
Bukit Jalil,Kuala Lumpur,560000,4,3,0,Built-up,1695,Partly
KLCC,Kuala Lumpur,1200000,3,3,0,Built-up,1700,Partly
Bangsar,Kuala Lumpur,1750000,3,2,0,Built-up,1700,Partly
Bangsar,Kuala Lumpur,1450000,3,2,0,Built-up,1700,Partly
OUG,Kuala Lumpur,628000,3,3,0,Built-up,1700,Partly
Federal Hill,Kuala Lumpur,1550000,5,4,0,Built-up,1700,Partly
OUG,Kuala Lumpur,800000,3,0,0,Built-up,1700,Partly
KLCC,Kuala Lumpur,1280000,3,4,0,Built-up,1701,Unfurnished
Mont Kiara,Kuala Lumpur,1850000,3,3,0,Built-up,1715,Partly
Bukit Jalil,Kuala Lumpur,620000,4,3,0,Built-up,1716,Unfurnished
KLCC,Kuala Lumpur,4500000,2,3,0,Built-up,1722,Partly
Jalan Ipoh,Kuala Lumpur,620000,3,3,0,Built-up,1727,Partly
Jalan Kuching,Kuala Lumpur,620000,3,3,0,Built-up,1728,Partly
Dutamas,Kuala Lumpur,1300000,4,4,0,Built-up,1730,Partly
KLCC,Kuala Lumpur,5231000,3,3,0,Built-up,1743,Fully
Desa ParkCity,Kuala Lumpur,1950000,4,4,0,Built-up,1743,Unfurnished
Bandar Menjalara,Kuala Lumpur,1032300,3,2,0,Built-up,1743,Unfurnished
Cheras,Kuala Lumpur,1000000,4,3,0,Built-up,1750,Partly
Bukit Tunku,Kuala Lumpur,1600000,4,5,0,Built-up,1755,Fully
Bukit Tunku,Kuala Lumpur,1450000,3,3,0,Built-up,1755,Partly
KLCC,Kuala Lumpur,2290275,3,4,0,Built-up,1755,Partly
KLCC,Kuala Lumpur,2176000,2,2,0,Built-up,1755,Fully
Mont Kiara,Kuala Lumpur,1200000,3,3,0,Built-up,1756,Fully
Jalan Kuching,Kuala Lumpur,1200000,4,3,0,Built-up,1760,Fully
Desa ParkCity,Kuala Lumpur,1550000,3,4,0,Built-up,1777,Partly
Wangsa Maju,Kuala Lumpur,830000,4,2,0,Built-up,1784,Partly
Mont Kiara,Kuala Lumpur,1690000,3,2,0,Built-up,1785,Fully
KLCC,Kuala Lumpur,4465000,3,3,0,Built-up,1786,Fully
KL Sentral,Kuala Lumpur,2300000,3,3,0,Built-up,1787,Partly
KL Sentral,Kuala Lumpur,2233750,3,4,0,Built-up,1787,Unfurnished
Segambut,Kuala Lumpur,1150000,3,4,0,Built-up,1788,Partly
Dutamas,Kuala Lumpur,1000000,3,3,0,Built-up,1799,Partly
Keramat,Kuala Lumpur,1200000,3,4,0,Built-up,1800,Fully
KLCC,Kuala Lumpur,2050000,3,3,0,Built-up,1800,Fully
Jalan Kuching,Kuala Lumpur,650000,3,3,0,Built-up,1800,Partly
Bandar Damai Perdana,Kuala Lumpur,630000,4,3,0,Built-up,1800,Unfurnished
Keramat,Kuala Lumpur,1000000,1,1,0,Built-up,1826,Fully
KLCC,Kuala Lumpur,4289250,3,3,0,Built-up,1830,Fully
Dutamas,Kuala Lumpur,837000,4,3,0,Built-up,1830,Partly
Dutamas,Kuala Lumpur,837000,4,3,0,Built-up,1830,Partly
Batu Caves,Kuala Lumpur,720000,3,3,0,Built-up,1840,Fully
Jalan Ipoh,Kuala Lumpur,750000,4,3,0,Built-up,1840,Partly
Dutamas,Kuala Lumpur,750000,4,4,0,Built-up,1840,Fully
Jalan Ipoh,Kuala Lumpur,710000,3,3,0,Built-up,1850,Partly
Desa ParkCity,Kuala Lumpur,1550000,3,3,0,Built-up,1852,Partly
Jalan Klang Lama,Kuala Lumpur,630000,3,2,0,Built-up,1857,Partly
Damansara Heights,Kuala Lumpur,2560000,3,4,0,Built-up,1862,Partly
Setapak,Kuala Lumpur,880000,4,4,0,Built-up,1869,Partly
Setapak,Kuala Lumpur,830000,4,4,0,Built-up,1869,Partly
Kepong,Kuala Lumpur,840000,4,3,0,Built-up,1870,Unfurnished
Bangsar,Kuala Lumpur,1280000,4,2,0,Built-up,1870,Partly
KL Sentral,Kuala Lumpur,2200000,3,4,0,Built-up,1873,Partly
Jalan Ipoh,Kuala Lumpur,561100,4,3,0,Built-up,1879,Partly
Jalan Ipoh,Kuala Lumpur,561100,4,3,0,Built-up,1879,Partly
Jalan Ipoh,Kuala Lumpur,561100,4,3,0,Built-up,1879,Partly
Setapak,Kuala Lumpur,628000,4,2,0,Built-up,1880,Partly
Segambut,Kuala Lumpur,800000,4,3,0,Built-up,1893,Fully
Cheras,Kuala Lumpur,1800000,3,3,0,Built-up,1894,Partly
Bukit Tunku,Kuala Lumpur,1600000,3,4,0,Built-up,1894,Partly
Desa ParkCity,Kuala Lumpur,1580000,3,3,0,Built-up,1900,Partly
Desa ParkCity,Kuala Lumpur,1580000,3,3,0,Built-up,1900,Partly
Desa ParkCity,Kuala Lumpur,1600000,3,3,0,Built-up,1900,Fully
Desa ParkCity,Kuala Lumpur,1900000,4,3,0,Built-up,1900,Fully
Bangsar,Kuala Lumpur,1380000,3,2,0,Built-up,1900,Partly
Desa ParkCity,Kuala Lumpur,1480000,3,3,0,Built-up,1900,Partly
Mid Valley City,Kuala Lumpur,1780000,4,3,0,Built-up,1905,Fully
KLCC,Kuala Lumpur,2486025,3,4,0,Built-up,1905,Partly
Mont Kiara,Kuala Lumpur,1600000,3,4,0,Built-up,1906,Fully
Setapak,Kuala Lumpur,550000,4,2,0,Built-up,1920,Partly
Bukit Tunku,Kuala Lumpur,1650000,3,4,0,Built-up,1927,Partly
KLCC,Kuala Lumpur,3000396,3,4,0,Built-up,1932,Partly
Ampang,Kuala Lumpur,1780000,3,2,0,Built-up,1933,Fully
Bukit Bintang,Kuala Lumpur,1850000,1,2,0,Built-up,1943,Partly
Kuchai Lama,Kuala Lumpur,868000,3,2,0,Built-up,1948,Partly
Kepong,Kuala Lumpur,850000,4,2,0,Built-up,1958,Partly
KLCC,Kuala Lumpur,1880000,4,3,0,Built-up,1984,Partly
KLCC,Kuala Lumpur,1985000,4,2,0,Built-up,1985,Fully
Kepong,Kuala Lumpur,700000,4,3,0,Built-up,1991,Partly
City Centre,Kuala Lumpur,1228000,3,3,0,Built-up,1997,Partly
Cheras,Kuala Lumpur,2800000,5,4,0,Built-up,10500,Partly
Taman Melawati,Kuala Lumpur,6300000,7,8,0,Built-up,10549,Fully
Sungai Besi,Kuala Lumpur,1450000,5,4,0,Land area,1610,Partly
Ampang,Kuala Lumpur,8000000,5,5,0,Land area,10000,Unfurnished
Bangsar,Kuala Lumpur,5900000,5,6,0,Land area,10000,Partly
Damansara Heights,Kuala Lumpur,4200000,4,4,0,Land area,10000,Partly
Damansara Heights,Kuala Lumpur,14500000,7,7,0,Land area,10000,Unfurnished
Damansara Heights,Kuala Lumpur,14000000,7,7,0,Land area,10000,Partly
Damansara Heights,Kuala Lumpur,7300000,5,6,0,Land area,10000,Partly
Cheras,Kuala Lumpur,3500000,7,4,0,Land area,10085,Unfurnished
Seputeh,Kuala Lumpur,720000,2,2,0,Land area,1011,Partly
Seputeh,Kuala Lumpur,700000,2,2,0,Land area,1011,Partly
Bukit Jalil,Kuala Lumpur,520000,3,2,0,Land area,1018,Partly
Segambut,Kuala Lumpur,590000,3,2,0,Land area,1019,Partly
Kepong,Kuala Lumpur,488000,3,2,0,Land area,1027,Partly
Cheras,Kuala Lumpur,1800000,5,3,0,Land area,10350,Partly
Taman Tun Dr Ismail,Kuala Lumpur,8500000,6,6,0,Land area,10355,Unfurnished
Taman Tun Dr Ismail,Kuala Lumpur,8880000,6,6,0,Land area,10355,Partly
Setapak,Kuala Lumpur,510000,3,2,0,Land area,1040,Partly
Setapak,Kuala Lumpur,510000,3,2,0,Land area,1040,Partly
Cheras,Kuala Lumpur,2850000,5,5,0,Land area,10400,Partly
Seputeh,Kuala Lumpur,690000,2,2,0,Land area,1044,Partly
Kepong,Kuala Lumpur,640000,4,3,0,Land area,1044,Partly
Cheras,Kuala Lumpur,2500000,5,5,0,Land area,10500,Unfurnished
Damansara Heights,Kuala Lumpur,5300000,4,3,0,Land area,10600,Partly
Country Heights Damansara,Kuala Lumpur,8500000,7,10,0,Land area,10602,Unfurnished
Sentul,Kuala Lumpur,438000,3,2,0,Land area,1062,Unfurnished
Sentul,Kuala Lumpur,530000,3,2,0,Land area,1062,Unfurnished
KLCC,Kuala Lumpur,1150000,2,2,0,Land area,1065,Fully
Bukit Bintang,Kuala Lumpur,1200000,2,2,0,Land area,1070,Fully
Bukit Bintang,Kuala Lumpur,1000000,2,2,0,Land area,1070,Fully
Bukit Bintang,Kuala Lumpur,1150000,2,2,0,Land area,1070,Fully
Bukit Bintang,Kuala Lumpur,1180000,2,1,0,Land area,1070,Fully
Bandar Menjalara,Kuala Lumpur,440000,3,2,0,Land area,1076,Unfurnished
Jalan Ipoh,Kuala Lumpur,710000,3,3,0,Land area,1080,Partly
Jalan Ipoh,Kuala Lumpur,640000,3,3,0,Land area,1080,Partly
Bandar Damai Perdana,Kuala Lumpur,530000,4,3,0,Land area,1080,Partly
Taman Melawati,Kuala Lumpur,705000,3,3,0,Land area,1080,Partly
Bangsar South,Kuala Lumpur,896000,3,2,0,Land area,1092,Unfurnished
Setapak,Kuala Lumpur,425000,3,2,0,Land area,1099,Partly
Jalan Ipoh,Kuala Lumpur,650000,3,3,0,Land area,1100,Partly
Setapak,Kuala Lumpur,410000,3,2,0,Land area,1100,Partly
Bukit Tunku,Kuala Lumpur,11000000,5,4,0,Land area,11000,Unfurnished
Damansara Heights,Kuala Lumpur,5600000,6,6,0,Land area,11000,Partly
Taman Duta,Kuala Lumpur,2800000,6,6,0,Land area,11000,Unfurnished
Sungai Besi,Kuala Lumpur,4890000,7,6,0,Land area,11000,Partly
KL City,Kuala Lumpur,18000000,6,6,0,Land area,11000,Partly
Damansara Heights,Kuala Lumpur,6400000,6,7,0,Land area,11025,Unfurnished
Sungai Besi,Kuala Lumpur,618000,3,2,0,Land area,1106,Partly
Bangsar South,Kuala Lumpur,895000,3,2,0,Land area,1119,Unfurnished
KLCC,Kuala Lumpur,1200000,2,2,0,Land area,1124,Fully
Sungai Besi,Kuala Lumpur,549500,3,2,0,Land area,1125,Unfurnished
Batu Caves,Kuala Lumpur,393660,3,2,0,Land area,1125,Unfurnished
Jalan Klang Lama,Kuala Lumpur,2300000,5,4,0,Land area,11275,Unfurnished
Jalan Klang Lama,Kuala Lumpur,2300000,5,4,0,Land area,11275,Unfurnished
Jalan Klang Lama,Kuala Lumpur,2260000,5,5,0,Land area,11300,Unfurnished
Sungai Besi,Kuala Lumpur,6490000,9,7,0,Land area,11300,Partly
Damansara Heights,Kuala Lumpur,12500000,6,6,0,Land area,11400,Fully
Desa Petaling,Kuala Lumpur,485000,3,2,0,Land area,1144,Partly
Wangsa Maju,Kuala Lumpur,450000,3,2,0,Land area,1150,Partly
Wangsa Maju,Kuala Lumpur,460000,3,2,0,Land area,1150,Partly
Dutamas,Kuala Lumpur,896670,3,3,0,Land area,1151,Unfurnished
KLCC,Kuala Lumpur,1050000,2,1,0,Land area,1164,Fully
KLCC,Kuala Lumpur,1420000,2,2,0,Land area,1164,Fully
Puchong,Kuala Lumpur,549000,3,3,0,Land area,1170,Partly
Batu Caves,Kuala Lumpur,900000,5,4,0,Land area,1170,Fully
Country Heights Damansara,Kuala Lumpur,10800000,6,11,0,Land area,11700,Partly
Country Heights Damansara,Kuala Lumpur,10500000,10,10,0,Land area,11700,Partly
Bandar Damai Perdana,Kuala Lumpur,559000,4,3,0,Land area,1180,Partly
Cheras,Kuala Lumpur,480000,4,3,0,Land area,1197,Partly
Cheras,Kuala Lumpur,480000,4,3,0,Land area,1197,Partly
Wangsa Maju,Kuala Lumpur,680000,4,2,0,Land area,1200,Fully
Kepong,Kuala Lumpur,590000,4,3,0,Land area,1200,Unfurnished
Kepong,Kuala Lumpur,630000,4,3,0,Land area,1200,Partly
Wangsa Maju,Kuala Lumpur,1190000,4,4,0,Land area,1200,Partly
KLCC,Kuala Lumpur,800000,2,2,0,Land area,1200,Partly
Setapak,Kuala Lumpur,450000,3,2,0,Land area,1200,Partly
Mont Kiara,Kuala Lumpur,4300000,6,7,0,Land area,1200,Fully
Cheras,Kuala Lumpur,650000,4,3,0,Land area,1200,Partly
Bukit Bintang,Kuala Lumpur,1180000,2,2,0,Land area,1200,Fully
Bangsar,Kuala Lumpur,8500000,7,6,0,Land area,12000,Partly
Cheras,Kuala Lumpur,5500000,7,6,0,Land area,12000,Partly
Bukit Jalil,Kuala Lumpur,638000,4,2,0,Land area,1212,Partly
Bukit Jalil,Kuala Lumpur,720000,4,2,0,Land area,1212,Partly
KLCC,Kuala Lumpur,5200000,5,4,0,Land area,12163,Unfurnished
Kuchai Lama,Kuala Lumpur,2900000,6,7,0,Land area,12239,Fully
Sentul,Kuala Lumpur,600000,4,3,0,Land area,1231,Unfurnished
Taman Desa,Kuala Lumpur,450000,3,2,0,Land area,1249,Unfurnished
Bukit Jalil,Kuala Lumpur,1100000,3,2,0,Land area,1254,Fully
Bandar Menjalara,Kuala Lumpur,690000,3,2,0,Land area,1260,Fully
Wangsa Maju,Kuala Lumpur,383820,3,2,0,Land area,1270,Unfurnished
Taman Tun Dr Ismail,Kuala Lumpur,730000,3,2,0,Land area,1281,Partly
Sentul,Kuala Lumpur,440000,3,3,0,Land area,660,Partly
Sentul,Kuala Lumpur,400000,3,2,0,Land area,660,Partly
Sentul,Kuala Lumpur,380000,3,2,0,Land area,660,Partly
Bandar Damai Perdana,Kuala Lumpur,658000,4,3,0,Land area,1300,Partly
Kepong,Kuala Lumpur,578000,3,1,0,Land area,1300,Partly
Pantai,Kuala Lumpur,770000,1,1,0,Land area,1300,Unfurnished
Cheras,Kuala Lumpur,508000,4,3,0,Land area,1300,Unfurnished
Cheras,Kuala Lumpur,630000,4,3,0,Land area,1300,Partly
Ampang,Kuala Lumpur,600000,4,3,0,Land area,1300,Partly
Cheras,Kuala Lumpur,668000,5,4,0,Land area,1300,Partly
Sri Petaling,Kuala Lumpur,6380000,7,6,0,Land area,13000,Partly
Sri Hartamas,Kuala Lumpur,14800000,7,7,0,Land area,13000,Fully
City Centre,Kuala Lumpur,6300000,5,4,0,Land area,13000,Partly
Pantai,Kuala Lumpur,666000,3,3,0,Land area,1302,Unfurnished
City Centre,Kuala Lumpur,720000,3,2,0,Land area,1302,Unfurnished
Setapak,Kuala Lumpur,510000,4,2,0,Land area,1313,Partly
Jalan Ipoh,Kuala Lumpur,3800000,8,6,0,Land area,13154,Unfurnished
Segambut,Kuala Lumpur,700000,3,2,0,Land area,1319,Unfurnished
Cheras,Kuala Lumpur,7800000,6,8,0,Land area,13200,Unfurnished
Setapak,Kuala Lumpur,513000,3,2,0,Land area,1324,Unfurnished
Cheras,Kuala Lumpur,7500000,7,8,0,Land area,13250,Partly
KLCC,Kuala Lumpur,1480000,2,2,0,Land area,1356,Partly
KLCC,Kuala Lumpur,1500000,2,2,0,Land area,1356,Partly
Bangsar,Kuala Lumpur,7000000,5,6,0,Land area,13606,Unfurnished
Keramat,Kuala Lumpur,7500000,5,4,0,Land area,13634,Unfurnished
KL City,Kuala Lumpur,1150000,2,2,0,Land area,1380,Fully
Mont Kiara,Kuala Lumpur,7600000,10,10,0,Land area,13832,Unfurnished
Desa ParkCity,Kuala Lumpur,1170000,3,2,0,Land area,1398,Partly
Pandan Indah,Kuala Lumpur,659000,4,3,0,Land area,1400,Partly
Sri Petaling,Kuala Lumpur,750000,3,2,0,Land area,1400,Partly
Kepong,Kuala Lumpur,1230000,5,4,0,Land area,1400,Partly
Kepong,Kuala Lumpur,1360000,5,4,0,Land area,1400,Partly
Setiawangsa,Kuala Lumpur,900000,4,3,0,Land area,1400,Partly
Bukit Jalil,Kuala Lumpur,1350000,5,5,0,Land area,1400,Unfurnished
Segambut,Kuala Lumpur,1050000,4,3,0,Land area,1400,Fully
Segambut,Kuala Lumpur,1050000,4,3,0,Land area,1400,Fully
Cheras,Kuala Lumpur,700000,5,5,0,Land area,1400,Unfurnished
Cheras,Kuala Lumpur,700000,5,5,0,Land area,1400,Unfurnished
Cheras,Kuala Lumpur,700000,5,5,0,Land area,1400,Unfurnished
Cheras,Kuala Lumpur,550000,4,3,0,Land area,1400,Partly
Kepong,Kuala Lumpur,1080000,4,3,0,Land area,1400,Partly
Wangsa Maju,Kuala Lumpur,780000,4,3,0,Land area,1400,Partly
Kepong,Kuala Lumpur,850000,4,2,0,Land area,1400,Unfurnished
Kepong,Kuala Lumpur,850000,4,3,0,Land area,1400,Partly
Sungai Besi,Kuala Lumpur,700000,4,3,0,Land area,1400,Partly
Cheras,Kuala Lumpur,495000,4,3,0,Land area,1400,Partly
Cheras,Kuala Lumpur,850000,4,3,0,Land area,1400,Partly
Setiawangsa,Kuala Lumpur,869000,4,3,0,Land area,1400,Partly
Cheras,Kuala Lumpur,595000,4,4,0,Land area,1400,Unfurnished
Gombak,Kuala Lumpur,870000,4,3,0,Land area,1400,Partly
Cheras,Kuala Lumpur,610000,4,3,0,Land area,1400,Partly
Gombak,Kuala Lumpur,1280000,6,4,0,Land area,1400,Partly
Ampang,Kuala Lumpur,2800000,5,5,0,Land area,14000,Partly
Bukit Jalil,Kuala Lumpur,750000,3,2,0,Land area,1407,Partly
Sentul,Kuala Lumpur,588000,4,3,0,Land area,1412,Unfurnished
Country Heights Damansara,Kuala Lumpur,1130000,2,2,0,Land area,1426,Partly
KLCC,Kuala Lumpur,1925000,3,2,0,Land area,1426,Fully
Kepong,Kuala Lumpur,580000,3,2,0,Land area,1430,Partly
Kepong,Kuala Lumpur,730000,4,3,0,Land area,1430,Partly
Desa ParkCity,Kuala Lumpur,1300000,4,3,0,Land area,1430,Fully
Kepong,Kuala Lumpur,730000,4,3,0,Land area,1430,Partly
Kepong,Kuala Lumpur,680000,3,2,0,Land area,1430,Unfurnished
Jalan Kuching,Kuala Lumpur,690000,4,3,0,Land area,1430,Unfurnished
Sri Hartamas,Kuala Lumpur,2150000,6,6,0,Land area,1430,Partly
Kepong,Kuala Lumpur,730000,3,2,0,Land area,1430,Partly
Kepong,Kuala Lumpur,670000,3,2,0,Land area,1430,Unfurnished
Kepong,Kuala Lumpur,680000,3,2,0,Land area,1430,Unfurnished
Desa ParkCity,Kuala Lumpur,1180000,4,3,0,Land area,1432,Partly
KLCC,Kuala Lumpur,1550000,2,2,0,Land area,1432,Partly
Bangsar,Kuala Lumpur,9885630,5,4,0,Land area,14327,Partly
Jalan Ipoh,Kuala Lumpur,510000,3,2,0,Land area,1440,Partly
Kepong,Kuala Lumpur,920000,4,3,0,Land area,1440,Partly
Desa ParkCity,Kuala Lumpur,2250000,4,4,0,Land area,1442,Fully
Sungai Besi,Kuala Lumpur,700000,4,2,0,Land area,1449,Partly
Ampang,Kuala Lumpur,850000,3,3,0,Land area,1470,Partly
Segambut,Kuala Lumpur,675000,3,2,0,Land area,1470,Partly
Setapak,Kuala Lumpur,760000,3,2,0,Land area,1470,Partly
Desa ParkCity,Kuala Lumpur,3100000,6,5,0,Land area,1472,Partly
Sri Petaling,Kuala Lumpur,668000,4,3,0,Land area,1495,Partly
Desa ParkCity,Kuala Lumpur,3200000,6,5,0,Land area,1496,Partly
Puchong,Kuala Lumpur,444600,4,3,0,Land area,1496,Partly
Setapak,Kuala Lumpur,420000,3,2,0,Land area,588,Partly
Setapak,Kuala Lumpur,425000,3,2,0,Land area,588,Partly
Setapak,Kuala Lumpur,410000,4,3,0,Land area,588,Partly
Kepong,Kuala Lumpur,570000,3,2,0,Land area,588,Partly
Segambut,Kuala Lumpur,338000,2,2,0,Land area,603,Partly
Segambut,Kuala Lumpur,350000,2,2,0,Land area,603,Fully
Kepong,Kuala Lumpur,350000,3,2,0,Land area,603,Unfurnished
Kepong,Kuala Lumpur,488000,3,3,0,Land area,603,Partly
Kepong,Kuala Lumpur,415000,3,2,0,Land area,603,Partly
Kepong,Kuala Lumpur,345000,2,2,0,Land area,603,Partly
Kepong,Kuala Lumpur,458000,3,3,0,Land area,630,Fully
Wangsa Maju,Kuala Lumpur,450000,3,2,0,Land area,630,Partly
Kepong,Kuala Lumpur,425000,3,2,0,Land area,630,Unfurnished
Kepong,Kuala Lumpur,400000,3,2,0,Land area,630,Partly
Kepong,Kuala Lumpur,438000,3,2,0,Land area,630,Partly
Cheras,Kuala Lumpur,310000,2,2,0,Land area,630,Unfurnished
Kepong,Kuala Lumpur,388000,3,3,0,Land area,630,Partly
Cheras,Kuala Lumpur,350000,2,1,0,Land area,700,Partly
Pandan Jaya,Kuala Lumpur,430000,2,2,0,Land area,700,Partly
Cheras,Kuala Lumpur,600000,2,1,0,Land area,700,Unfurnished
Kepong,Kuala Lumpur,360000,3,2,0,Land area,700,Unfurnished
Taman Melawati,Kuala Lumpur,478000,2,2,0,Land area,840,Partly
Taman Melawati,Kuala Lumpur,450000,2,2,0,Land area,840,Partly
Kepong,Kuala Lumpur,330000,3,2,0,Land area,750,Partly
Desa ParkCity,Kuala Lumpur,1800000,4,3,0,Land area,1500,Fully
Sungai Besi,Kuala Lumpur,1080000,5,4,0,Land area,1500,Partly
Taman Melawati,Kuala Lumpur,950000,3,4,0,Land area,1500,Partly
Cheras,Kuala Lumpur,780000,4,3,0,Land area,1500,Fully
Ampang,Kuala Lumpur,950000,3,4,0,Land area,1500,Unfurnished
Bangsar,Kuala Lumpur,18000000,8,7,0,Land area,15000,Partly
Cheras,Kuala Lumpur,4500000,7,5,0,Land area,15000,Fully
Damansara Heights,Kuala Lumpur,22000000,8,12,0,Land area,15000,Fully
Bangsar,Kuala Lumpur,5000000,5,4,0,Land area,15000,Unfurnished
Bangsar,Kuala Lumpur,9885200,5,5,0,Land area,15208,Partly
Bukit Jalil,Kuala Lumpur,1450000,6,5,0,Land area,1540,Unfurnished
Desa ParkCity,Kuala Lumpur,1880000,4,4,0,Land area,1540,Partly
Sri Petaling,Kuala Lumpur,650000,3,2,0,Land area,1540,Partly
Kepong,Kuala Lumpur,650000,3,1,0,Land area,1540,Partly
Kepong,Kuala Lumpur,650000,3,1,0,Land area,1540,Partly
Cheras,Kuala Lumpur,850000,4,3,0,Land area,1540,Partly
Kepong,Kuala Lumpur,760000,3,2,0,Land area,1540,Unfurnished
Kuchai Lama,Kuala Lumpur,2200000,5,6,0,Land area,1540,Partly
Kepong,Kuala Lumpur,728000,3,3,0,Land area,1540,Unfurnished
Mont Kiara,Kuala Lumpur,12800000,9,9,0,Land area,15750,Partly
Mont Kiara,Kuala Lumpur,12800000,8,10,0,Land area,15750,Partly
Sri Petaling,Kuala Lumpur,338000,2,1,0,Land area,825,Unfurnished
Cheras,Kuala Lumpur,275000,2,2,0,Land area,825,Partly
